source;target;weight
bbcglasto;harmonica;1
bbcglasto;lolle;1
bbcglasto;class;3
bbcglasto;rolligstones;1
bbcglasto;zimmers;1
bbcglasto;bedtimeforcrum;1
bbcglasto;chasean;1
bbcglasto;dentures;1
bbcglasto;lineandlength;1
bbcglasto;craftbeer;1
bbcglasto;doppelbock;1
bbcglasto;dancing;1
bbcglasto;publicenemy;20
bbcglasto;rollingbones;1
bbcglasto;fact;5
bbcglasto;irishacts;1
bbcglasto;alabama;1
bbcglasto;skeksis;1
bbcglasto;jaggerbomb;1
bbcglasto;wannagoback;1
bbcglasto;midnightrambler;1
bbcglasto;whosthisotherguitaristthatisntronwood;1
bbcglasto;jakebugg;1
bbcglasto;goosebumps;2
bbcglasto;slippertime;2
bbcglasto;sexygrandpa;1
bbcglasto;oldcodger;1
bbcglasto;thunderbird;1
bbcglasto;keithrichards;2
bbcglasto;drumgod;1
bbcglasto;glastonbury2013live;19
bbcglasto;iexaggerateforeffect;1
bbcglasto;bestbefore1975;1
bbcglasto;yankeearmy;1
bbcglasto;goodolestones;1
bbcglasto;beyonce;1
bbcglasto;nanight;1
bbcglasto;planetoftheapes;1
bbcglasto;superskinny;1
bbcglasto;tooold;1
bbcglasto;stonedgrandads;1
bbcglasto;festival;1
