source;target;weight
glastonbury;rollingstonesplaying;1
glastonbury;whufc;2
glastonbury;sadface;9
glastonbury;new;3
glastonbury;dj;1
glastonbury;bass;5
glastonbury;favourite;1
glastonbury;bml;1
glastonbury;not;5
glastonbury;finally;3
glastonbury;drunk;3
glastonbury;hat;4
glastonbury;epiclineup;1
glastonbury;brucey;1
glastonbury;excited;15
glastonbury;brugge;1
glastonbury;shinyhappypeople;1
glastonbury;ladsdoglasto;1
glastonbury;sunshine;14
glastonbury;bcimagirl;4
glastonbury;leftfieldstage;13
glastonbury;doingwell;1
glastonbury;minnie;1
glastonbury;tshirt;3
glastonbury;mickey;1
glastonbury;wellies;8
glastonbury;rave;12
glastonbury;yurt;6
glastonbury;yessss;2
glastonbury;pcs;1
glastonbury;workfare;1
glastonbury;sanctions;1
glastonbury;welfare;1
glastonbury;serwotka;1
glastonbury;nowords;2
glastonbury;flamingos;1
glastonbury;soupsong;1
glastonbury;souplebrities;1
glastonbury;fridayinspiration;1
glastonbury;thingsilearnedinmylife;2
glastonbury;beyoncebetawards;1
glastonbury;thewantedcontonyaguilar;2
glastonbury;happyweddingchavril;2
glastonbury;nukeit;1
glastonbury;film;2
glastonbury;deadfoot;2
glastonbury;sunny;3
glastonbury;funtimes;6
glastonbury;beyonceb;1
glastonbury;bumpclub;4
glastonbury;arcadia;23
glastonbury;greatliveband;1
glastonbury;doingitright;1
glastonbury;memories;20
glastonbury;yellowhoodywatch;2
glastonbury;casualty;2
glastonbury;brickbybrick;3
glastonbury;toroymoi;4
glastonbury;riddy;1
glastonbury;motheroffestivals;1
glastonbury;asianaboatparty;3
glastonbury;boss;10
glastonbury;synth;1
glastonbury;keys;1
glastonbury;axe;1
glastonbury;bgp;1
glastonbury;parkstage;2
glastonbury;worthyfarm;1
glastonbury;onceinalifetime;3
glastonbury;howniceisthat;1
glastonbury;vfestival;17
glastonbury;jelous;6
glastonbury;iwanttogo;3
glastonbury;instagram;7
glastonbury;produce;1
glastonbury;british;5
glastonbury;food;3
glastonbury;foodstall;1
glastonbury;farmer;1
glastonbury;increddddible;1
glastonbury;bbc6;1
glastonbury;dancefloor;1
glastonbury;whyaminot;1
glastonbury;shldhvegavemethetickets;1
glastonbury;takemeaway;8
glastonbury;madness;28
glastonbury;overrated;18
glastonbury;mytholmroyd;3
glastonbury;getlucky;4
glastonbury;iwishiwasthere;3
glastonbury;glamping;14
glastonbury;priorities;3
glastonbury;feelingold;4
glastonbury;justlikebeingthere;1
glastonbury;ukbizoffer;1
glastonbury;ohdear;2
glastonbury;radio1;22
glastonbury;raynauds;1
glastonbury;angel;1
glastonbury;iggyazalea;7
glastonbury;step13;4
glastonbury;playthehits;5
glastonbury;muddy;3
glastonbury;eegarden;2
glastonbury;davegilmour;1
glastonbury;andymurray;2
glastonbury;amordelbueno;1
glastonbury;foodwaste;2
glastonbury;mali;4
glastonbury;daftpunkglastonbury;2
glastonbury;qotsa;2
glastonbury;ledzeppelin;3
glastonbury;madsummer;1
glastonbury;isleofmtv;1
glastonbury;detune;1
glastonbury;regrets;3
glastonbury;oops;2
glastonbury;fieldcandy;1
glastonbury;sayomg;1
glastonbury;glastfest13;1
glastonbury;britishf1grandprix2013;1
glastonbury;gibson;4
glastonbury;gardenbury;1
glastonbury;smuggitsinafield;1
glastonbury;lizo;1
glastonbury;bbcarabic;5
glastonbury;handballschools;4
glastonbury;daftpunk;15
glastonbury;netherstowey;1
glastonbury;rest;1
glastonbury;notgivinafuck;1
glastonbury;jammin;1
glastonbury;yorkshirelads;1
glastonbury;acousticstage;7
glastonbury;nopyronoparty;5
glastonbury;justice4reg122nd;1
glastonbury;goatist;1
glastonbury;magaluf13;1
glastonbury;nickcave;1
glastonbury;badger;38
glastonbury;leftfield;6
glastonbury;phil;1
glastonbury;cockpit;1
glastonbury;spunkbucket;2
glastonbury;rollingstonesglasto;6
glastonbury;rolli;3
glastonbury;volveré;1
glastonbury;envidiacochina;1
glastonbury;thestones;200
glastonbury;thestaves;1
glastonbury;jamesbond;3
glastonbury;differentlives;3
glastonbury;leightonbaines;1
glastonbury;6music;8
glastonbury;happyday;1
